Filename                           Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ast.rs                                 182                16    91.21%          29                 2    93.10%         121                10    91.74%           0                 0         -
ast/dumper.rs                          951               261    72.56%          23                 1    95.65%         349                73    79.08%           0                 0         -
ast/literal.rs                         432                21    95.14%          37                 0   100.00%         307                21    93.16%           0                 0         -
ast/literal_parsing.rs                 611                19    96.89%          23                 0   100.00%         371                18    95.15%           0                 0         -
ast/nodes.rs                           277                36    87.00%           7                 0   100.00%         234                33    85.90%           0                 0         -
ast/parsed.rs                          332                43    87.05%          18                 1    94.44%         270                39    85.56%           0                 0         -
ast/parsed_types.rs                     73                 8    89.04%           7                 0   100.00%          38                 2    94.74%           0                 0         -
codegen/clif_gen.rs                   5417              1115    79.42%          74                 9    87.84%        2273               417    81.65%           0                 0         -
codegen/link_gen.rs                    108                27    75.00%           5                 1    80.00%          72                17    76.39%           0                 0         -
codegen/mir_gen.rs                    3490               337    90.34%         132                 5    96.21%        1808               158    91.26%           0                 0         -
codegen/mir_gen_expression.rs         3479               875    74.85%          62                 4    93.55%        1357               358    73.62%           0                 0         -
codegen/mir_gen_initializer.rs        1226               139    88.66%          40                 1    97.50%         662                61    90.79%           0                 0         -
codegen/mir_gen_ops.rs                 265                 5    98.11%          14                 0   100.00%         139                 5    96.40%           0                 0         -
codegen/object_gen.rs                   24                 1    95.83%           2                 1    50.00%          14                 1    92.86%           0                 0         -
diagnostic.rs                          415                98    76.39%          29                 3    89.66%         278                55    80.22%           0                 0         -
driver/cli.rs                          975               159    83.69%          49                19    61.22%         537                86    83.99%           0                 0         -
driver/compiler.rs                     652               214    67.18%          32                14    56.25%         409               103    74.82%           0                 0         -
lang_options.rs                         59                 1    98.31%           9                 0   100.00%          45                 0   100.00%           0                 0         -
main.rs                                 24                24     0.00%           1                 1     0.00%          16                16     0.00%           0                 0         -
mir.rs                                 787                70    91.11%          74                 1    98.65%         566                31    94.52%           0                 0         -
mir/dumper.rs                         1354               524    61.30%          74                34    54.05%         584               172    70.55%           0                 0         -
mir/validation.rs                      879               170    80.66%          24                 3    87.50%         482                91    81.12%           0                 0         -
parser.rs                              494                 9    98.18%          55                 0   100.00%         354                 1    99.72%           0                 0         -
parser/declarations.rs                 905                96    89.39%          21                 0   100.00%         475                30    93.68%           0                 0         -
parser/declarator.rs                   549                42    92.35%          20                 0   100.00%         310                17    94.52%           0                 0         -
parser/enum_parsing.rs                  76                11    85.53%           4                 0   100.00%          32                 5    84.38%           0                 0         -
parser/errors.rs                        34                 0   100.00%           4                 0   100.00%          25                 0   100.00%           0                 0         -
parser/expressions.rs                  856                95    88.90%          25                 0   100.00%         345                10    97.10%           0                 0         -
parser/lexer.rs                        983                75    92.37%          28                 1    96.43%         531                36    93.22%           0                 0         -
parser/statements.rs                   739               179    75.78%          25                 1    96.00%         301                53    82.39%           0                 0         -
parser/struct_parsing.rs               156                 8    94.87%           5                 0   100.00%          70                 0   100.00%           0                 0         -
parser/type_builder.rs                 157                 9    94.27%           5                 0   100.00%         133                11    91.73%           0                 0         -
parser/type_specifiers.rs              103                11    89.32%           1                 0   100.00%          56                 2    96.43%           0                 0         -
parser/utils.rs                         77                 4    94.81%           6                 0   100.00%          54                 0   100.00%           0                 0         -
pp/builtins.rs                         854               105    87.70%          24                 2    91.67%         309                42    86.41%           0                 0         -
pp/directives.rs                      1453               270    81.42%          56                 6    89.29%         704               112    84.09%           0                 0         -
pp/dumper.rs                           385                38    90.13%          19                 1    94.74%         223                11    95.07%           0                 0         -
pp/error.rs                            199                 5    97.49%          10                 1    90.00%         148                 3    97.97%           0                 0         -
pp/header_search.rs                    164                 1    99.39%          14                 0   100.00%         106                 1    99.06%           0                 0         -
pp/interpreter.rs                      802                54    93.27%          46                 1    97.83%         463                21    95.46%           0                 0         -
pp/keyword_table.rs                    183                 3    98.36%           4                 1    75.00%         149                 3    97.99%           0                 0         -
pp/macros.rs                          1620                93    94.26%          43                 0   100.00%         929                48    94.83%           0                 0         -
pp/pp_lexer.rs                        1445               182    87.40%          40                 1    97.50%         907               123    86.44%           0                 0         -
pp/preprocessor.rs                     883                89    89.92%          52                 5    90.38%         514                31    93.97%           0                 0         -
pp/types.rs                            216                 5    97.69%           8                 0   100.00%         111                 0   100.00%           0                 0         -
semantic/analyzer.rs                  5582               658    88.21%         154                 7    95.45%        2805               353    87.42%           0                 0         -
semantic/const_eval.rs                1423               385    72.94%          37                 5    86.49%         695               173    75.11%           0                 0         -
semantic/conversions.rs                164                 5    96.95%           7                 1    85.71%          77                 1    98.70%           0                 0         -
semantic/errors.rs                     658                49    92.55%           6                 0   100.00%         395                28    92.91%           0                 0         -
semantic/literal_utils.rs               53                 0   100.00%           5                 0   100.00%          30                 0   100.00%           0                 0         -
semantic/lowering.rs                  5313               713    86.58%         142                17    88.03%        2937               376    87.20%           0                 0         -
semantic/symbol_table.rs               940                65    93.09%          57                 2    96.49%         586                33    94.37%           0                 0         -
semantic/type_registry.rs             2439               541    77.82%          67                 5    92.54%        1607               346    78.47%           0                 0         -
semantic/types.rs                      837                59    92.95%         102                 0   100.00%         595                37    93.78%           0                 0         -
source_manager.rs                      566                13    97.70%          62                 0   100.00%         344                 7    97.97%           0                 0         -
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                53320              8035    84.93%        1919               157    91.82%       28252              3681    86.97%           0                 0         -
